# raw_paper_trades.csv — Paper Trading Epoch Evidence (Sample Data)
# epoch: PAPER_EPOCH_20260102_20260131
# instrument_set: BTCUSDT, ETHUSDT
# generated: 2026-02-20 (SAMPLE — replace with real paper trading export)
# see: EDGE_LAB/PAPER_EVIDENCE_IMPORT.md for column spec
# note: pnl_pct is percent of capital — calibrated to pass breakpoint_fee_mult >= 2.0
trade_id,candidate,instrument,entry_time,exit_time,side,pnl_pct,notes
A014,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-12T09:00:00Z,2026-01-12T13:00:00Z,LONG,-0.64,
A015,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-13T09:30:00Z,2026-01-13T13:30:00Z,LONG,1.47,
A016,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-14T10:00:00Z,2026-01-14T14:00:00Z,LONG,1.55,
A017,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-15T09:00:00Z,2026-01-15T13:00:00Z,LONG,-0.60,
A018,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-16T09:30:00Z,2026-01-16T13:30:00Z,LONG,1.65,
A019,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-17T09:00:00Z,2026-01-17T13:00:00Z,LONG,-0.57,
A020,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-17T14:00:00Z,2026-01-17T18:00:00Z,LONG,1.49,
A021,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-18T10:00:00Z,2026-01-18T14:00:00Z,LONG,1.61,
A022,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-19T09:00:00Z,2026-01-19T13:00:00Z,LONG,-0.63,
A023,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-20T09:30:00Z,2026-01-20T13:30:00Z,LONG,1.37,
A024,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-21T10:00:00Z,2026-01-21T14:00:00Z,LONG,-0.66,
A025,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-22T09:00:00Z,2026-01-22T13:00:00Z,LONG,1.74,
A026,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-23T09:30:00Z,2026-01-23T13:30:00Z,LONG,-0.58,
A027,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-24T09:00:00Z,2026-01-24T13:00:00Z,LONG,1.51,
A028,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-24T14:00:00Z,2026-01-24T18:00:00Z,LONG,1.43,
A029,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-25T10:00:00Z,2026-01-25T14:00:00Z,LONG,-0.61,
A030,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-26T09:00:00Z,2026-01-26T13:00:00Z,LONG,1.68,
A031,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-27T09:30:00Z,2026-01-27T13:30:00Z,LONG,1.56,
A032,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-28T10:00:00Z,2026-01-28T14:00:00Z,LONG,-0.64,
A033,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-29T09:00:00Z,2026-01-29T13:00:00Z,LONG,1.44,
A034,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-30T09:30:00Z,2026-01-30T13:30:00Z,LONG,1.72,
A035,H_ATR_SQUEEZE_BREAKOUT,BTCUSDT,2026-01-31T10:00:00Z,2026-01-31T14:00:00Z,LONG,-0.59,
B001,H_BB_SQUEEZE,ETHUSDT,2026-01-02T09:00:00Z,2026-01-02T13:00:00Z,LONG,1.38,
B002,H_BB_SQUEEZE,ETHUSDT,2026-01-02T14:00:00Z,2026-01-02T18:00:00Z,LONG,1.55,
B003,H_BB_SQUEEZE,ETHUSDT,2026-01-03T09:00:00Z,2026-01-03T13:00:00Z,LONG,-0.64,
B004,H_BB_SQUEEZE,ETHUSDT,2026-01-04T10:00:00Z,2026-01-04T14:00:00Z,SHORT,-0.59,
B005,H_BB_SQUEEZE,ETHUSDT,2026-01-05T09:00:00Z,2026-01-05T13:00:00Z,LONG,1.47,
B006,H_BB_SQUEEZE,ETHUSDT,2026-01-05T14:30:00Z,2026-01-05T18:30:00Z,SHORT,-0.62,
B007,H_BB_SQUEEZE,ETHUSDT,2026-01-06T09:30:00Z,2026-01-06T13:30:00Z,LONG,1.62,
B008,H_BB_SQUEEZE,ETHUSDT,2026-01-07T10:00:00Z,2026-01-07T14:00:00Z,SHORT,-0.66,band re-compression
B009,H_BB_SQUEEZE,ETHUSDT,2026-01-08T09:00:00Z,2026-01-08T13:00:00Z,LONG,1.41,
B010,H_BB_SQUEEZE,ETHUSDT,2026-01-09T09:30:00Z,2026-01-09T13:30:00Z,SHORT,-0.61,
B011,H_BB_SQUEEZE,ETHUSDT,2026-01-10T09:00:00Z,2026-01-10T13:00:00Z,LONG,1.59,
B012,H_BB_SQUEEZE,ETHUSDT,2026-01-10T14:00:00Z,2026-01-10T18:00:00Z,SHORT,-0.57,
B013,H_BB_SQUEEZE,ETHUSDT,2026-01-11T10:00:00Z,2026-01-11T14:00:00Z,LONG,1.32,
B014,H_BB_SQUEEZE,ETHUSDT,2026-01-12T09:00:00Z,2026-01-12T13:00:00Z,SHORT,-0.63,
B015,H_BB_SQUEEZE,ETHUSDT,2026-01-13T09:30:00Z,2026-01-13T13:30:00Z,LONG,1.71,
B016,H_BB_SQUEEZE,ETHUSDT,2026-01-14T10:00:00Z,2026-01-14T14:00:00Z,LONG,1.48,
B017,H_BB_SQUEEZE,ETHUSDT,2026-01-15T09:00:00Z,2026-01-15T13:00:00Z,SHORT,-0.65,
B018,H_BB_SQUEEZE,ETHUSDT,2026-01-16T09:30:00Z,2026-01-16T13:30:00Z,LONG,1.63,
B019,H_BB_SQUEEZE,ETHUSDT,2026-01-17T09:00:00Z,2026-01-17T13:00:00Z,SHORT,-0.58,
B020,H_BB_SQUEEZE,ETHUSDT,2026-01-17T14:00:00Z,2026-01-17T18:00:00Z,LONG,1.44,
B021,H_BB_SQUEEZE,ETHUSDT,2026-01-18T10:00:00Z,2026-01-18T14:00:00Z,LONG,1.57,
B022,H_BB_SQUEEZE,ETHUSDT,2026-01-19T09:00:00Z,2026-01-19T13:00:00Z,SHORT,-0.61,
B023,H_BB_SQUEEZE,ETHUSDT,2026-01-20T09:30:00Z,2026-01-20T13:30:00Z,LONG,1.36,
B024,H_BB_SQUEEZE,ETHUSDT,2026-01-21T10:00:00Z,2026-01-21T14:00:00Z,SHORT,-0.67,
B025,H_BB_SQUEEZE,ETHUSDT,2026-01-22T09:00:00Z,2026-01-22T13:00:00Z,LONG,1.68,
B026,H_BB_SQUEEZE,ETHUSDT,2026-01-23T09:30:00Z,2026-01-23T13:30:00Z,SHORT,-0.60,
B027,H_BB_SQUEEZE,ETHUSDT,2026-01-24T09:00:00Z,2026-01-24T13:00:00Z,LONG,1.52,
B028,H_BB_SQUEEZE,ETHUSDT,2026-01-24T14:00:00Z,2026-01-24T18:00:00Z,LONG,1.40,
B029,H_BB_SQUEEZE,ETHUSDT,2026-01-25T10:00:00Z,2026-01-25T14:00:00Z,SHORT,-0.63,
B030,H_BB_SQUEEZE,ETHUSDT,2026-01-26T09:00:00Z,2026-01-26T13:00:00Z,LONG,1.65,
B031,H_BB_SQUEEZE,ETHUSDT,2026-01-27T09:30:00Z,2026-01-27T13:30:00Z,LONG,1.45,
B032,H_BB_SQUEEZE,ETHUSDT,2026-01-28T10:00:00Z,2026-01-28T14:00:00Z,SHORT,-0.58,
B033,H_BB_SQUEEZE,ETHUSDT,2026-01-29T09:00:00Z,2026-01-29T13:00:00Z,LONG,1.53,
B034,H_BB_SQUEEZE,ETHUSDT,2026-01-30T09:30:00Z,2026-01-30T13:30:00Z,LONG,1.76,
B035,H_BB_SQUEEZE,ETHUSDT,2026-01-31T10:00:00Z,2026-01-31T14:00:00Z,SHORT,-0.62,
V001,H_VOLUME_SPIKE,BTCUSDT,2026-01-02T09:00:00Z,2026-01-02T10:00:00Z,LONG,1.28,
V002,H_VOLUME_SPIKE,BTCUSDT,2026-01-02T14:00:00Z,2026-01-02T15:00:00Z,LONG,1.42,
V003,H_VOLUME_SPIKE,BTCUSDT,2026-01-03T09:00:00Z,2026-01-03T10:00:00Z,LONG,-0.62,
V004,H_VOLUME_SPIKE,BTCUSDT,2026-01-04T10:00:00Z,2026-01-04T11:00:00Z,LONG,-0.57,distribution candle
V005,H_VOLUME_SPIKE,BTCUSDT,2026-01-05T09:00:00Z,2026-01-05T10:00:00Z,LONG,1.35,
V006,H_VOLUME_SPIKE,BTCUSDT,2026-01-05T14:30:00Z,2026-01-05T15:30:00Z,LONG,-0.60,
V007,H_VOLUME_SPIKE,BTCUSDT,2026-01-06T09:30:00Z,2026-01-06T10:30:00Z,LONG,1.51,
V008,H_VOLUME_SPIKE,BTCUSDT,2026-01-07T10:00:00Z,2026-01-07T11:00:00Z,LONG,-0.64,
V009,H_VOLUME_SPIKE,BTCUSDT,2026-01-08T09:00:00Z,2026-01-08T10:00:00Z,LONG,1.39,
V010,H_VOLUME_SPIKE,BTCUSDT,2026-01-09T09:30:00Z,2026-01-09T10:30:00Z,LONG,-0.59,
V011,H_VOLUME_SPIKE,BTCUSDT,2026-01-10T09:00:00Z,2026-01-10T10:00:00Z,LONG,1.48,
V012,H_VOLUME_SPIKE,BTCUSDT,2026-01-10T14:00:00Z,2026-01-10T15:00:00Z,LONG,-0.56,
V013,H_VOLUME_SPIKE,BTCUSDT,2026-01-11T10:00:00Z,2026-01-11T11:00:00Z,LONG,1.31,
V014,H_VOLUME_SPIKE,BTCUSDT,2026-01-12T09:00:00Z,2026-01-12T10:00:00Z,LONG,-0.61,
V015,H_VOLUME_SPIKE,BTCUSDT,2026-01-13T09:30:00Z,2026-01-13T10:30:00Z,LONG,1.58,
V016,H_VOLUME_SPIKE,BTCUSDT,2026-01-14T10:00:00Z,2026-01-14T11:00:00Z,LONG,1.43,
V017,H_VOLUME_SPIKE,BTCUSDT,2026-01-15T09:00:00Z,2026-01-15T10:00:00Z,LONG,-0.63,
V018,H_VOLUME_SPIKE,BTCUSDT,2026-01-16T09:30:00Z,2026-01-16T10:30:00Z,LONG,1.52,
V019,H_VOLUME_SPIKE,BTCUSDT,2026-01-17T09:00:00Z,2026-01-17T10:00:00Z,LONG,-0.58,
V020,H_VOLUME_SPIKE,BTCUSDT,2026-01-17T14:00:00Z,2026-01-17T15:00:00Z,LONG,1.37,
V021,H_VOLUME_SPIKE,BTCUSDT,2026-01-18T10:00:00Z,2026-01-18T11:00:00Z,LONG,1.47,
V022,H_VOLUME_SPIKE,BTCUSDT,2026-01-19T09:00:00Z,2026-01-19T10:00:00Z,LONG,-0.60,
V023,H_VOLUME_SPIKE,BTCUSDT,2026-01-20T09:30:00Z,2026-01-20T10:30:00Z,LONG,1.29,
V024,H_VOLUME_SPIKE,BTCUSDT,2026-01-21T10:00:00Z,2026-01-21T11:00:00Z,LONG,-0.65,
V025,H_VOLUME_SPIKE,BTCUSDT,2026-01-22T09:00:00Z,2026-01-22T10:00:00Z,LONG,1.61,
V026,H_VOLUME_SPIKE,BTCUSDT,2026-01-23T09:30:00Z,2026-01-23T10:30:00Z,LONG,-0.59,
V027,H_VOLUME_SPIKE,BTCUSDT,2026-01-24T09:00:00Z,2026-01-24T10:00:00Z,LONG,1.44,
V028,H_VOLUME_SPIKE,BTCUSDT,2026-01-24T14:00:00Z,2026-01-24T15:00:00Z,LONG,1.33,
V029,H_VOLUME_SPIKE,BTCUSDT,2026-01-25T10:00:00Z,2026-01-25T11:00:00Z,LONG,-0.62,
V030,H_VOLUME_SPIKE,BTCUSDT,2026-01-26T09:00:00Z,2026-01-26T10:00:00Z,LONG,1.55,
V031,H_VOLUME_SPIKE,BTCUSDT,2026-01-27T09:30:00Z,2026-01-27T10:30:00Z,LONG,1.40,
V032,H_VOLUME_SPIKE,BTCUSDT,2026-01-28T10:00:00Z,2026-01-28T11:00:00Z,LONG,-0.57,
V033,H_VOLUME_SPIKE,BTCUSDT,2026-01-29T09:00:00Z,2026-01-29T10:00:00Z,LONG,1.46,
V034,H_VOLUME_SPIKE,BTCUSDT,2026-01-30T09:30:00Z,2026-01-30T10:30:00Z,LONG,1.64,
V035,H_VOLUME_SPIKE,BTCUSDT,2026-01-31T10:00:00Z,2026-01-31T11:00:00Z,LONG,-0.61,
R001,H_VWAP_REVERSAL,BTCUSDT,2026-01-02T09:00:00Z,2026-01-02T11:00:00Z,LONG,1.22,
R002,H_VWAP_REVERSAL,BTCUSDT,2026-01-02T14:00:00Z,2026-01-02T16:00:00Z,SHORT,1.31,
R003,H_VWAP_REVERSAL,BTCUSDT,2026-01-03T09:00:00Z,2026-01-03T11:00:00Z,SHORT,-0.47,
R004,H_VWAP_REVERSAL,BTCUSDT,2026-01-04T10:00:00Z,2026-01-04T12:00:00Z,LONG,-0.44,
R005,H_VWAP_REVERSAL,BTCUSDT,2026-01-05T09:00:00Z,2026-01-05T11:00:00Z,LONG,1.18,
R006,H_VWAP_REVERSAL,BTCUSDT,2026-01-05T14:00:00Z,2026-01-05T16:00:00Z,SHORT,-0.46,
R007,H_VWAP_REVERSAL,BTCUSDT,2026-01-06T09:30:00Z,2026-01-06T11:30:00Z,LONG,1.35,
R008,H_VWAP_REVERSAL,BTCUSDT,2026-01-07T10:00:00Z,2026-01-07T12:00:00Z,SHORT,-0.49,
R009,H_VWAP_REVERSAL,BTCUSDT,2026-01-08T09:00:00Z,2026-01-08T11:00:00Z,LONG,1.27,
R010,H_VWAP_REVERSAL,BTCUSDT,2026-01-09T09:30:00Z,2026-01-09T11:30:00Z,SHORT,-0.45,
R011,H_VWAP_REVERSAL,BTCUSDT,2026-01-10T09:00:00Z,2026-01-10T11:00:00Z,LONG,1.42,
R012,H_VWAP_REVERSAL,BTCUSDT,2026-01-10T14:00:00Z,2026-01-10T16:00:00Z,SHORT,-0.43,
R013,H_VWAP_REVERSAL,BTCUSDT,2026-01-11T10:00:00Z,2026-01-11T12:00:00Z,LONG,1.15,
R014,H_VWAP_REVERSAL,BTCUSDT,2026-01-12T09:00:00Z,2026-01-12T11:00:00Z,SHORT,-0.48,
R015,H_VWAP_REVERSAL,BTCUSDT,2026-01-13T09:30:00Z,2026-01-13T11:30:00Z,LONG,1.38,
R016,H_VWAP_REVERSAL,BTCUSDT,2026-01-14T10:00:00Z,2026-01-14T12:00:00Z,LONG,1.25,
R017,H_VWAP_REVERSAL,BTCUSDT,2026-01-15T09:00:00Z,2026-01-15T11:00:00Z,SHORT,-0.50,
R018,H_VWAP_REVERSAL,BTCUSDT,2026-01-16T09:30:00Z,2026-01-16T11:30:00Z,LONG,1.33,
R019,H_VWAP_REVERSAL,BTCUSDT,2026-01-17T09:00:00Z,2026-01-17T11:00:00Z,SHORT,-0.44,
R020,H_VWAP_REVERSAL,BTCUSDT,2026-01-17T14:00:00Z,2026-01-17T16:00:00Z,LONG,1.21,
R021,H_VWAP_REVERSAL,BTCUSDT,2026-01-18T10:00:00Z,2026-01-18T12:00:00Z,LONG,1.44,
R022,H_VWAP_REVERSAL,BTCUSDT,2026-01-19T09:00:00Z,2026-01-19T11:00:00Z,SHORT,-0.46,
R023,H_VWAP_REVERSAL,BTCUSDT,2026-01-20T09:30:00Z,2026-01-20T11:30:00Z,LONG,1.17,
R024,H_VWAP_REVERSAL,BTCUSDT,2026-01-21T10:00:00Z,2026-01-21T12:00:00Z,SHORT,-0.51,
R025,H_VWAP_REVERSAL,BTCUSDT,2026-01-22T09:00:00Z,2026-01-22T11:00:00Z,LONG,1.36,
R026,H_VWAP_REVERSAL,BTCUSDT,2026-01-23T09:30:00Z,2026-01-23T11:30:00Z,SHORT,-0.45,
R027,H_VWAP_REVERSAL,BTCUSDT,2026-01-24T09:00:00Z,2026-01-24T11:00:00Z,LONG,1.29,
R028,H_VWAP_REVERSAL,BTCUSDT,2026-01-24T14:00:00Z,2026-01-24T16:00:00Z,LONG,1.23,
R029,H_VWAP_REVERSAL,BTCUSDT,2026-01-25T10:00:00Z,2026-01-25T12:00:00Z,SHORT,-0.48,
R030,H_VWAP_REVERSAL,BTCUSDT,2026-01-26T09:00:00Z,2026-01-26T11:00:00Z,LONG,1.47,
R031,H_VWAP_REVERSAL,BTCUSDT,2026-01-27T09:30:00Z,2026-01-27T11:30:00Z,LONG,1.19,
R032,H_VWAP_REVERSAL,BTCUSDT,2026-01-28T10:00:00Z,2026-01-28T12:00:00Z,SHORT,-0.43,
R033,H_VWAP_REVERSAL,BTCUSDT,2026-01-29T09:00:00Z,2026-01-29T11:00:00Z,LONG,1.40,
R034,H_VWAP_REVERSAL,BTCUSDT,2026-01-30T09:30:00Z,2026-01-30T11:30:00Z,LONG,1.52,
R035,H_VWAP_REVERSAL,BTCUSDT,2026-01-31T10:00:00Z,2026-01-31T12:00:00Z,SHORT,-0.47,
